"Job","Clocked In","Clocked Out","Duration","Comment","Breaks","Adjustments","TotalTimeAdjustment","TotalEarningsAdjustment"
"Employer","07/11/2015 05:05","07/11/2015 12:45","7:40","","","","",""
"Employer","09/11/2015 04:58","09/11/2015 12:02","7:04","","","","",""
"Employer","10/11/2015 13:09","10/11/2015 20:04","6:55","","","","",""
"Employer","12/11/2015 04:56","12/11/2015 12:04","7:08","","","","",""
"Employer","13/11/2015 05:03","13/11/2015 11:45","6:42","","","","",""
"Employer","14/11/2015 05:06","14/11/2015 14:09","9:03","","","","",""
"Employer","16/11/2015 05:01","16/11/2015 12:10","7:09","","","","",""
"Employer","17/11/2015 14:05","17/11/2015 21:48","7:43","","","","",""
"Employer","19/11/2015 04:58","19/11/2015 12:15","7:17","","","","",""
"Employer","20/11/2015 04:52","20/11/2015 11:05","6:13","","","","",""
"Employer","21/11/2015 05:01","21/11/2015 12:46","7:45","","","","",""
"Employer","23/11/2015 05:02","23/11/2015 12:09","7:07","","","","",""
"Employer","24/11/2015 14:15","24/11/2015 21:50","7:35","","","","",""
"Employer","26/11/2015 04:58","26/11/2015 14:51","9:53","","","","",""
"Employer","27/11/2015 04:56","27/11/2015 12:32","7:36","","","","",""
"Employer","28/11/2015 04:59","28/11/2015 12:17","7:18","","","","",""
"Employer","30/11/2015 04:56","30/11/2015 13:55","8:59","","","","",""
"Employer","01/12/2015 13:03","01/12/2015 21:40","8:37","","","","",""
"Employer","03/12/2015 04:56","03/12/2015 14:53","9:57","","","","",""
"Employer","04/12/2015 05:12","04/12/2015 12:30","7:18","","","","",""
"Employer","05/12/2015 05:25","05/12/2015 12:15","6:50","","","","",""
"Employer","07/12/2015 04:59","07/12/2015 12:06","7:07","","","","",""
"Employer","08/12/2015 12:59","08/12/2015 21:31","8:32","","","","",""
"Employer","10/12/2015 05:03","10/12/2015 12:09","7:06","","","","",""
"Employer","11/12/2015 05:08","11/12/2015 12:05","6:57","","","","",""
"Employer","12/12/2015 05:05","12/12/2015 12:35","7:30","","","","",""
"Employer","14/12/2015 04:57","14/12/2015 12:01","7:04","","","","",""
"Employer","15/12/2015 12:22","15/12/2015 19:30","7:08","","","","",""
